account,amount
0x9f6e92bB1F210B95814b02bCa91b209d99b8b7BD,300
0xfc2BA15b6014a17DDE0Ac8AE36910D1a0C99a35E,300
0xfa860889ee6E3c715a5B76D998223dF040B167dA,300
0x4d6242B0F9d20AB195099CC401E416bBeac08B64,300
0x0fb45858d5963f92D4f9d301cCdC00eBe35Cf04D,300
0xC247A2a860eC45854F2C697F42db41840df8962e,300
0x8e927b25e75f63a6f2c4f5c9e788b936d4f5b1f1,250
0xcE23758d451fa865C2BbC1D52114C7309F6b81Ce,200
0x086dbA85e1B7F682db7CBFcD016A735e4105BDc6,200
0xb95cF73B8d2bCc0f9Ae81a513d6aa465dea493Eb,200
0x610566F55e26c87915123120253a2b7A23Daf750,200
0x78d7e9aec1257e025cdBA3DAA76769e77B97bbc8,200
0xb789A1297b1f5d46435d1679e18696438A795b04,200
0xC03Cdca77d912696f3A54eB92BdEc117f4925050,200
0x64f5CaDB71349222dd2db269893Bf2816B706896,100
0x175a81F5b6b757a34B68Af57d8d11A1a2b40c0B7,100
0x2E7E94BE872319A0D991F704E1F4fad385F5855d,100
